L CaS(30),L FG(37),R FG(37),L IPL(40),R SupraMarginal(40),R MTG(37),L SupraMarginal(22),R PCC(23),R IPL(40),L PCU(7),R PCU(23),L PCC(23),R MFG(9),R SFG(8),L STG(48),L MFG(9),R ACC(32),R TP(38),L (para)Hipp(20),R MPFG(10),L MPFG(10)
1094.32,1121.36,1135.28,1031.94,1030.07,1021.09,1046.64,1102.16,1160.74,1128.1,1061.43,1114.16,1042.06,1066.56,1054.21,992.86,1066.79,1134.93,1083.83,904.68,960
1092.1,1121.48,1136.46,1032.99,1031.25,1021.7,1046.99,1099.42,1162.03,1129.85,1059.83,1113.21,1041.37,1067.24,1054.26,992.08,1067.63,1137.1,1084.99,904.24,960.51
1094.11,1120.88,1135.89,1032.81,1030.99,1022.6,1047.15,1101.46,1162.38,1131.78,1059.95,1114.08,1041.35,1067.85,1056.35,993.34,1068.52,1133.12,1084.12,903.16,958.75
1092.53,1119.97,1134.52,1031.79,1029.85,1021.2,1047.08,1099.28,1160.14,1127.69,1059.08,1114.08,1041.03,1065.78,1052.74,992.58,1067.68,1131.59,1083.46,904.27,961.55
1090.5,1119.91,1135.01,1032.45,1029.76,1020.41,1047.68,1099.75,1160.83,1123.74,1059.68,1113.32,1040.94,1065.68,1051.35,992.37,1064.96,1132.03,1082.46,901.72,958.56
1092.38,1120.91,1135.35,1031.57,1028.35,1020.63,1046.6,1099.23,1160.33,1124.38,1057.54,1112.98,1039.95,1064.24,1051.73,989.86,1064.86,1133.72,1083.29,899.9,957.8
1093.54,1120.9,1135.31,1031.17,1030.94,1021.56,1047.95,1101.56,1160.38,1125.81,1061.11,1112.39,1042.8,1066.92,1050.32,991.07,1067.41,1134.78,1084.3,903.73,961.15
1094.09,1121.76,1134.92,1033.15,1030.11,1022.61,1048.43,1099.1,1161.67,1125.88,1060.98,1112.27,1041.55,1065.42,1053.06,991.79,1066.25,1134.56,1084.87,900.99,959.32
1093.86,1121.46,1136.39,1032.85,1029.55,1022.8,1047.5,1097.26,1160.8,1126.73,1059.94,1111.62,1040.07,1065.3,1055.02,992.55,1064.99,1135.91,1083.98,901.56,960.21
1093.05,1120.48,1136.52,1032.1,1030.21,1023.13,1048.69,1097.57,1159.75,1127.01,1060.28,1110.31,1040.46,1064.49,1054.82,992.25,1066.77,1136.43,1084.21,903.07,961.73
1094.11,1120.78,1134.31,1031.42,1029.49,1022.46,1048.12,1098.44,1158.05,1126.26,1060.29,1112.72,1041.19,1064.66,1053.59,991.43,1068.03,1135.98,1084.54,904.28,962.59
1094.87,1121.23,1135.89,1031.82,1028.55,1022.36,1047.76,1099.06,1157.65,1126.78,1060.31,1113.41,1042.33,1064.67,1053.98,993.08,1067.9,1134.8,1084.51,906.13,963.72
1094.85,1123.25,1137.75,1031.74,1029.05,1023.99,1047.31,1100.45,1158.47,1126.66,1060.76,1114.38,1041.21,1064.1,1052.28,992.27,1064.89,1139.18,1085.14,904.6,961.99
1098.62,1122.35,1137.5,1031.45,1029.42,1024.37,1048.02,1100.22,1160.74,1127.03,1061.2,1114.77,1041.08,1065.44,1054.86,991.37,1064.25,1135.92,1084.46,904.85,961.46
1097.65,1122.89,1138.42,1033.91,1032,1025.29,1048.57,1100.55,1161.96,1133.32,1062.08,1111.79,1042.38,1069.32,1056.03,994.09,1066.41,1136.77,1085.52,904.4,961.09
1092.86,1121.61,1135.88,1032.69,1031.31,1024.48,1048.63,1096.83,1161.8,1131.78,1060.46,1110.11,1040.79,1069.07,1055.68,994,1067.48,1134.62,1086,900.43,959.68
1091.88,1122.68,1136.73,1032.5,1030.2,1022.67,1048.41,1098.81,1160.03,1128.39,1057.57,1109.82,1038.04,1063.98,1054.1,991.93,1068.15,1131.83,1085.18,902.12,961.97
1090.54,1121.04,1135.02,1030.84,1029.74,1021.33,1047.64,1099.46,1160.89,1126.86,1058.14,1111.06,1041.03,1065.94,1050.87,993.36,1066.36,1132.5,1084.88,903.53,962.23
1088.76,1119.69,1133.79,1030.62,1028.05,1021.6,1045.95,1098.13,1159.9,1121.45,1056.53,1108.95,1039.46,1064.7,1047.7,991.16,1064.23,1136.08,1084.07,900.53,959.85
1094.55,1119.98,1134.08,1030.91,1028.94,1022.39,1045.85,1100.31,1160.54,1122.43,1059.46,1112.98,1039.75,1063.69,1050.41,990.48,1064.55,1134.95,1082.07,901.91,960.17
1090.47,1119.45,1133.37,1031.47,1030.13,1022.16,1045.53,1098.42,1160.55,1126.41,1056.38,1109.16,1038.55,1064.1,1050.23,990.84,1063.55,1132.09,1084.26,899.56,959.21
1093.54,1121.26,1134.39,1032.7,1030.46,1022.33,1046.65,1099.06,1161.91,1125.29,1058.42,1112.01,1038.94,1065.33,1052.41,992.61,1065.52,1135.75,1083.85,902.74,960.14
1095.03,1121.89,1135.78,1033.14,1031.23,1024.46,1047.13,1101.84,1164.68,1129.93,1062.23,1113.92,1040.89,1069.53,1055.18,994.22,1066.94,1138.73,1085.83,903.52,962.4
